strain_original,accession,authors,institution,date
Monkeypox/PT0335/2022,OP414365,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-05-29
hMPXV-CH-38347314/2022,OP783902,"Laubscher,F., Marques-Melancia,S., Cordey,S., Schibler,M., Kaiser,L., Renzoni,A.","University Hospitals of Geneva, Laboratory of Virology",2022-06-08
Monkeypox/PT0213/2022,OP324523,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-06-24
Monkeypox/PT0314/2022,OP414347,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-06-05
hMpxV/Human/USA/IL-RIPHL-MPXV_10010/2022,OP820459,"Barbian,H., Green,S., Kunstman,K., Araujo Perez,F., Bobrovska,S., Hayden,M., Moore,N.","Rush University Meical Center, Regional Innovative Public Health Laboratory (RIPHL)",2022-08-11
Monkeypox virus/Human/USA/CA-LACPHL-MA00384/2022,OQ330991,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-21
MPXV_UK_2022_9000152,OP205114,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-05-16
MPXV_UK_2022_9000060,OP331334,"Grove,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-06-07
MpxV/human/USA/WA-UW-090635/2022,OP743978,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
Monkeypox/PT0034/2022,ON843169,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.",,2022-05-26
Monkeypox/PT0438/2022,OP555522,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-08-02
MpxV/human/USA/WA-UW-108647/2022,OP743996,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-10-XX
MpxV/human/USA/WA-UW-083953/2022,OP328307,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
Monkeypox/PT0030/2022,ON843171,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.",,2022-05-26
MPX_KJ3uDD_9000210,OP415190,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-06-XX
MpxV/human/USA/WA-UW-088213/2022,OP310054,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
MPX/Human/USA/CA-LACPHL-MA00133/2022,OP539918,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-09
hMPX/Human/USA/CA-LACPHL-MA00044/2022,OP440545,"Hemarajata,P., Green,N.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-07-22
MPX_KMgssq_9000236,OP415210,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-07-XX
MPX/Human/USA/CA-LACPHL-MA00115/2022,OP539900,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-14
MPXV/Human/USA/CA-LACPHL-MA00328/2022,OP890556,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-11-09
B1221119,OP935996,"Bajwa,M.I., Miller,H.","Delaware Public Health Lab, Sequencing/Bioinformatics",2022-11-08
MPXV/Human/USA/CA-LACPHL-MA00349/2022,OP920687,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-08
Monkeypox virus/Human/USA/CA-LACPHL-MA00229/2022,OP680507,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-03
MPXV22/human/USA-NE-199,OP431829,"Tegomoh,B., Cross,S.T., Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., Pratt,C.B., Warden,D.E., Iwen,P.C., Donahue,M., Wiley,M.R.","University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health",2022-08-20
Monkeypox/PT0024/2022,ON649720,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.","Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal",2022-05-19
MPXV/Germany/2022/RKI588,OP837350,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-06-XX
MPXV/Germany/2022/RKI473,OP626111,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-07-XX
MPXV/Germany/2022/RKI097,ON853680,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.",,2022-06-XX
hMpxV/USA/CA-CDPH-1000074/2022,OQ121028,"Probert,W., Espinosa,A., Kath,C., Haw,M., Bell,J., Hacker,J.","CDPH, VRDL",2022-10-14
Monkeypox/PT0348/2022,OP414377,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-05-25
ANT-LDSP-ANT-MPX-24725-L,OP642380,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia",2022-09-08
MpxV/human/CAN/UN-NML-3532/2022,ON983163,"Duggan,A., Hole,D., Yadav,C., Knox,N., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Marchand-Austin,A., Eshaghi,A., Patel,S.N., Hasso,M., Gubbay,J.B., Olsha,R.","National Microbiology Laboratory, Public Health Agency of Canada",2022-06-07
MPXV_FR_HCL0001_2022,ON622722,,"Virology, GENomique EPIdemiologique das maladies Infectieuses, France",2022-05-22
Monkeypox/PT0186/2022,OP324500,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-06-28
MPX_lBTTWI_9000279,OP415241,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-07-XX
MPXV_UK_2022_3,ON619837,"Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Carter,D.P., Crook,J.M., Myers,R., Vipond,R., Chand,M.","Research & Evaluation, UKHSA, UK",2022-05-XX
MPXV_UK_2022_9000067,OP205073,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-06-08
MPXV_USA_2022_RI0002,OP687943,"Gigante,C.M., Berns,A., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Morrison,S.S., Seabolt,M.H., Weigand,M.R., Knipe,K., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Carpenter-Azevedo,K., Li,Y.","CDC, DHCPP-PRB",2022-07-XX
MPXV/Germany/2022/RKI532,OP689686,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-07-XX
MPXV/Human/USA/CA-LACPHL-MA00357/2022,OP920695,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-11-08
MPXV_IRBA22-14,ON755040,"Jarjaval,F., Nolent,F., Criqui,A., Chapus,C., Lamer,O., Ferraris,O., Gorge,O.",,2022-05-20
ANT-LDSP-ANT-MPX-28297C,OQ261703,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia",2022-10-13
MPXV/Germany/2022/RKI479,OP626117,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-07-XX
MpxV/human/USA/WA-UW-098497/2022,OP681775,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
MPXV_USA_2022_VA0010,OP881955,"Gigante,C., Griffin-Thomas,L., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Crain,J., Li,Y.","CDC, DHCPP-PRB",2022-07-XX
hMPX/Human/USA/CA-LACPHL-MA00051/2022,OP440533,"Hemarajata,P., Green,N.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-07-20
INMI-Pt1,ON614676,"Gruber,C.E.M., Rueca,M., Gramigna,G., Carletti,F., Butera,O., Fabeni,L., Specchiarello,E., Meschi,S., Colavita,F., Minosse,C., Francalancia,M., Lapa,D., Garbuglia,A.R., Giombini,E.","Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS, Italy",2022-05-18
MPXV_USA_2022_NJ0005,OP687938,"Gigante,C.M., Acheampong,E., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Morrison,S.S., Seabolt,M.H., Weigand,M.R., Knipe,K., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., McDermott,D., Li,Y.","CDC, DHCPP-PRB",2022-08-XX
MPXV22/human/USA-NE-127,OP431825,"Tegomoh,B., Cross,S.T., Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., Pratt,C.B., Warden,D.E., Iwen,P.C., Donahue,M., Wiley,M.R.","University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health",2022-08-07
MPXV_USA_2022_CT0001,OP451011,"Gigante,C.M., Pearson,C., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Maloney,M., Li,Y.","CDC, DHCPP-PRB",2022-07-XX
MPXV/ITM_pt_16/Belgium/10-Jun-2022,OP144212,"De Baetselier,I., Van Dijck,C., Kenyon,C., Coppens,J., Smet,H., de Block,T., Coppens,S., Vanroye,F., Bugert,J., Girl,P., Liesenborghs,L., Selhorst,P., Arien,K., den Bossche,D.V., Florence,E., Rezende,A.M., Vercauteren,K., Esbroeck,M.V., Bracke,S., Brosius,I., Soentjens,P.","Institute of Tropica Medicine, Department of Clinical Sciences",2022-06-10
MpxV/human/USA/WA-UW-090611/2022,OP743989,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
MPXV/Human/USA/UT-UPHL-82200237/2022,OP743367,"Iverson,T., Oakeson,K.F., Young,E.L., Wagner,J., Hergert,J.",Utah Public Health Laboratory,2022-08-05
MPXV_USA_2022_LA0002,OP881947,"Gigante,C., Salinas,A., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Haydel,D., Li,Y.","CDC, DHCPP-PRB",2022-09-XX
Monkeypox/PT0018/2022,ON649718,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.","Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal",2022-05-20
hMpxV/UK/LMO-022a/2022,OP390191,"McHugh,M.P., Maloney,D., Parker,A., Mathers,K., Dewar,R., Kenicer,J., Cotton,S., Wild,J., Templeton,K.E.","Royal Infirmary of Edinburgh, Viral Genotyping Reference Laboratory",2022-06-24
MPX/Human/USA/CA-LACPHL-MA00253/2022,OP722512,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-11
MPXV-CH-38156923/2022,ON622720,"Laubscher,F., Schibler,M., Kaiser,L., Renzoni,A.","Laboratory of Viorology, University Hospital of Geneva, Switzerland",2022-05-24
Monkeypox virus/Human/USA/CA-LACPHL-MA00278/2022,OP748964,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-20
MPXV/Germany/2022/RKI530,OP689683,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-07-XX
Monkeypox virus/Human/USA/CA-LACPHL-MA00281/2022,OP748967,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-18
ANT-LDSP-ANT-MPX-28353C,OQ261706,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia",2022-10-14
Monkeypox virus/Human/USA/CA-LACPHL-MA00230/2022,OP680508,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-03
MPXV/Germany/2022/RKI555,OP715835,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-07-XX
MpxV/human/USA/WA-UW-108943/2022,OP743999,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-10-XX
MpxV/human/USA/WA-UW-086295/2022,OP743961,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
MPX/Human/USA/CA-LACPHL-MA00100/2022,OP539885,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-08-26
MPXV/Germany/2022/RKI370,OP484691,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-09-XX
4061,ON838940,"de la Hoz-Sanchez,B., Lopez-Ortiz,M., Gutierrez-Arroyo,A., Roces-Alvarez,P., Lazaro-Peona,F., Dahdouh,E., Bloise,I., Garcia-Rodriguez,J., Mingorance,J.",,2022-05-20
CVR_MPXV1b,ON808414,"Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C.",,2022-05-15
MPXV/Human/USA/CA-CDPH-MPX000028/2022,OP587256,"Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.","CDPH, VRDL",2022-07-11
MPXV/Germany/2022/RKI173,OP018598,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-07-XX
B1118436,OP935995,"Bajwa,M.I., Miller,H.","Delaware Public Health Lab, Sequencing/Bioinformatics",2022-10-02
MpxV/human/USA/WA-UW-092407/2022,OP743974,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
MPXV_UK_2022_9000090,OP205139,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-05-25
MPXV/Human/USA/CA-LACPHL-MA00322/2022,OP890526,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-31
Monkeypox virus/Human/USA/CA-LACPHL-MA00283/2022,OP748969,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-19
MPXV-USA-IL-IDPH-083,OP536744,"Gagnon,K.T.","Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry",2022-07-04
MpxV/human/USA/WA-UW-080597/2022,OP628438,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
VAC_INS_MPX_0965_EL,OP819956,"Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.","Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica",2022-10-12
hMPX/USA/CA-LACPHL-MA00158/2022,OP580591,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-23
MpxV/human/CAN/UN-NML-3907/2022,OP062231,"Duggan,A., Hole,D., Yadav,C., Knox,N., Tyler,A., Haidl,E., Chapel,M., Domselaar,G.V., Graham,M., Audet,J., Fernando,L., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Antonation,K., Jolly,G., Griffiths,E., Charest,H., Levade,I., Fafard,J.","National Microbiology Laboratory, Public Health Agency of Canada",2022-06-27
MpxV/human/USA/WA-UW-083760/2022,OP628452,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
hMPX/Human/USA/CA-LACPHL-MA00004/2022,OP440568,"Hemarajata,P., Green,N.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-07-17
Monkeypox virus/Human/USA/CA-LACPHL-MA00271/2022,OP748957,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-07-14
hMpxV/USA/CA-CDPH-000056/2022,OP863230,"Haw,M., Probert,W., Espinosa,A., Kath,C., O'Neil,R., Bell,J., Hacker,J.","CDPH, VRDL",2022-10-07
ANT-LDSP-ANT-MPX-25342E,OP642414,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia",2022-09-04
MPXV/Human/USA/CA-CDPH-MPX000039/2022,OP587261,"Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.","CDPH, VRDL",2022-08-18
LIM-INS-016,OP320554,"Padilla,C., Silva,I., Hurtado,V., Jimenez,V., Barcena,L., Lope,P., Arotinco,G.","Instituto Nacional de Salud Peru, Laboratorio de Biotecnologia y Biologia Molecular",2022-07-09
SIC-AOUP-UNIPA_VL_9aug,OP358276,"Tramuto,F.","University of Palermo, Department of Health Promotion Sciences Maternal and Infant Care, Internal Medicine and Medical Specialties ""G. D'Alessandro""",2022-08-09
MpxV/human/USA/WA-UW-091243/2022,OP681773,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
SAN_INS_MPX_0973_L,OP819960,"Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.","Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica",2022-10-17
MPXV/Human/USA/CA-LACPHL-MA00334/2022,OP890562,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-11-09
MpxV/human/USA/WA-UW-087577/2022,OP628477,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
DC_INS_MPX_1009_L,OP837475,"Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.","Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica",2022-09-19
MPXV_UK_2022_9000108,OP205096,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-06-14
MPX/UZ_REGA_3/Belgium/2022,ON880419,"Wawina-Bokalanga,T., Vanmechelen,B., Logist,A.-S., Sinnesael,R., Ysebaert,L., Bloemen,M., Maes,P.",,2022-05-27
Monkeypox/PT0333/2022,OP414364,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-05-27
MPXV_USA_2022_AR0002,OP752103,"Gigante,C.M., Vang,K., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Morrison,S.S., Desch,M., Knipe,K., Weigand,M.R., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Seely,K., Li,Y.","CDC, DHCPP-PRB",2022-08-XX
MpxV/human/CAN/UN-NML-3531/2022,ON983162,"Duggan,A., Hole,D., Yadav,C., Knox,N., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Marchand-Austin,A., Eshaghi,A., Patel,S.N., Hasso,M., Gubbay,J.B., Olsha,R.","National Microbiology Laboratory, Public Health Agency of Canada",2022-06-03
Monkeypox virus/Human/USA/CA-LACPHL-MA00386/2022,OQ330994,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-25
